时间,字数,内容
2023-06-25 22:11:43,362,"2023-06-25 端午节奥森金冠之战
苏队导队报名积极 江涛超燃eric球霸路导艾总骞哥黄队刚子老崔kb rocky祥子淡总茂盛苏队郭兴张梁老陶朱志金搏鲲哥 天公作美 刮起西北风降温 体感舒适
上半场非常焦灼 导队由江涛和老崔骞哥在左路频频发起进攻 先入一球 祥子边路助攻rocky头顶大腿顶连进两球 球霸不甘示弱 用一记脚后跟半凌空扳平 最后茂盛小禁区半凌空抽射拿下第一局
下半段开始时间路导接了个电话 苏队打出一波高潮 由祥子淡成总茂盛各打入一球 导队则利用超燃突破和远射制造压力 由艾总传中kb停给球霸打入一球 超燃和骞哥打了若干门柱
临近结束茂盛底线接淡总传球 苏队一声大吼传中 把防守队员往门外带了两米 茂盛零度角推射得分
祥子最可气 说为了等国安留了半场体力 结果还没抢到国安的红包
今日最佳进带刀后卫 茂盛"
2023-07-28 23:46:36,258,"
7.28 暑假休假周
阴天略有闷热 Eric去和玉猫展昭闹香港去了 路导开始开发街边象棋 老司机刷脸叫了研发主力 10打10
第一节两队互有攻守 苏队落后打成1:2后 淡总中场重炮轰门弹横梁进球 紧接着由国安禁区内一脚大力轰门得分
第二节导队凭借茂盛的一记中场远射吊门 和右路抽射领先 苏队老陶一脚临空抽射得分 最后由研发朋友破门3:1
本周最佳球员江涛和朱志 江涛守门防住了祥子2个单刀 朱志高接抵挡一堵快墙 1对1防守成功率100%
本周最佳配合 茂盛角球传无人盯防的席总 远射得分 老崔江涛边路轻松2打1得分"
2023-08-11 21:44:52,405,"8.11 雨季周
阴天温度适宜但湿度极大 没怎么开始跑就一身汗 人员齐整10打10
导队苏队各踢半场好球 开场热身导队由金搏老崔老司机组成热身小王子队连续进球 苏队有点急躁 球霸鲲哥上场后正式开始 导队兴奋劲持续高涨拿下第一局 其中老崔前场右路抢断张梁，顺势一波，起左脚打入精彩远射，本场比赛最佳进球非老崔莫属！球霸门前混战简陋结束上半场
苏队烦躁恼怒在这么湿滑的条件下 很是大失所望 嫌队友不传球给他选择叛变导队！和唐总互换，没有苏队的“苏队”开始选择防守反击阵型，罗总回收，rocky打单箭头。抓住导队压上得三次机会，首先是祥子中路分右边给老段，老段横扫中路，茂盛强点得分；然后祥子又直塞左路，茂盛高速插上蹭球改变路线得分；紧接着茂盛在后场直塞祥子，祥子往禁区一趟，推射得分，赢得下半场。
苏队叛变后，有个被老陶后场调戏的尽头值得回味，总之一句话，叛变没有好下场😉 
本周最佳球员：祥子
本周最佳进球：老崔"
2023-09-01 22:09:15,257,"9-1 开学周
本周苏队报名人数不够朋友来凑。朋友队发挥神勇，苏队2:1导队。
第一小节最精彩 苏队由祥子组织进攻先入两球小分2:1 但是导队顽强扳平，kb措施几次赛点后 由球霸终结比赛 3:2
后两小节完全由苏队控制比赛 rocky大哥发挥神勇 以4个进球 2个助攻 拿下本周最佳球员！（此处可以有红包）
本周最佳进球骞哥横传球霸 球霸推球门左下角一气呵成！老陶接祥子助攻 禁区内推射近角攻破eric把守大门！
路导今天守门发挥出色，神勇扑出教授的一脚远射，赛后感慨“没有苏队的比赛节奏明显快了一个档次”[偷笑]"
2023-10-28 21:13:54,437,"10-27
本周迎来报名黄金周 24人进入大名单，除了苏队拉个“腰” 路导继续读研，各路英雄悉数登场。球霸却设计让黄队和老司机摇人，可能是为了给黄队一次打败老司机的“机会”。
黄队当仁不让，挑了rocky，淡总，祥子，朱治，超燃几个大腿；老司机着重防守，挑了eric总，席总，祥子老板，球霸，教授几个粗腿。最克敌制胜的是老司机挑了“逛哥”门神…
熟话说，“进攻打出精彩比赛，防守赢得冠军🏆” 黄队队员开场向老司机球队发起猛攻，超燃，祥子频频获得射门机会，可耐“光哥”故意露出破“腚”，一顿神扑，化险为夷，而且横量门柱也帮助老司机球队防守，没给黄队进球机会。相反，球霸，eric总频频打出反击，赢得前两局。Eric总在同一个位置连续打入两个精彩头球轰炸，防不胜防。关键时候席总角球前点头球后蹭拿下，大局比分2:0.
最后一局黄队吸取教训，控制了进攻速度和节奏，由祥子，rocky和淡总连入三球搬回一局，总比分1:2. （光哥这节没守门）
今日最佳球员“光哥”，决定胜负的球员。"
2023-11-03 22:06:21,514,"
11-3 老司机四冠王无人能敌 骞哥放水五单刀不进
话说艾总不服被球霸忽悠重新挑战骞哥摇人 大风吹散整周雾霾 天公作美 苏队路导继续fw，22路英雄悉数登场。
艾总挑了rocky，球霸，朱治，席总，老崔，robert，郭队，老段，陶总，罗总；老司机挑了eric总，祥子，淡总，茂盛，kb，老唐，金搏，张梁，熊熊，鲲哥。
开场艾总感叹，“选的大腿牌太大”，席总姗姗来迟，朱志几乎是7点才来。
今天几乎是每个人的主场，进球不断，关键球都是老司机队终结比赛，艾总队“日地球”不间断
球霸有个穿裆熊熊低射破门的进球，非常精彩，外加若干防反进球；朱志接老段右路传中，狮子甩头攻门得分！老司机队主要地面渗透，祥子发挥神勇，进球如麻。老司机在小禁区有5个单刀没有打进，最后临结束挽回颜面打入一球。金搏发挥神勇前场推土机式连过4人，跌跌撞撞过了朱志，捅射入门。
最精彩的进攻防守由淡总和朱志贡献，祥子左路低平球传中，淡总迅雷不及掩耳盗铃之倒地铲射，当老司机队要欢呼的时候，朱志一个昙花一现的侧扑，降球拒之门外？！（扼杀了淡总将要给大家的红包）
今日最佳球员：球霸，虽然艾总队没抓住关键进球赢得球局，但是球霸在前场的气势和进球几乎顶了半支球队！"
2023-11-10 22:43:10,499,"2023-11-10 足球活动
金搏信心爆棚挑战黄队 1:2 虽败犹荣并不气馁
话说金搏要单挑老司机选人 被骞哥委婉拒绝后 拉着黄队一决雌雄！
黄队挑了rocky，Eric总，朱治，席总，老崔，robert，陶总，鲲哥，KB；金搏选了祥子，淡总，苏队，茂盛，老段，艾总，熊熊，罗总，骞哥。张梁迟到跟了黄队，球霸空降被金搏抢走。
面对“德意志”版得黄队，金队开场摆出四后卫防返阵型，祥子单前锋。正式开场祥子不负众望，连续打入两粒进球，罗总打入一粒金球结束了第一局，给黄队color seesee！
接下来的两局都是黄队获得主动并且取胜，金队都拼到2:2，最可惜的一局是老司机打入两粒神仙球，苏队传中淡总倒地铲射滑门而出，和上周那个铲球如出一辙。黄队Eric发挥神勇，今天帽子戏法，前场抢断茂盛抽射推近角得分，然后一个中路个人奔袭，一顿神扣单刀推射得分，还有一粒精彩角球高空轰炸得分。陶总今天左脚中立柱破门，朱志近角甩头破门拿下第二局！最后一局，球霸远射破黄队小门，黄油手下蛋脑补一下，金搏守门失误被rocky返抢，KB打入空门结束比赛
今日最佳球员：Eric总 帽子戏法加核心组织 头球轰炸无人能敌！"
2023-12-29 22:23:16,281,"2023-12-29 2023年收官之战
气温回升，空气湿润。老司机黄队挑人。黄队注重身高选了rocky，老席，祥子，球霸，kb，教授，艾总，张梁，郭兴；老司机选妖人路导，淡总，苏队，马岩，超燃，茂盛，老崔，熊，老陶。
两队各踢半场好球，上半场老司机队超燃发挥神勇进二球，教授+艾总乌龙帮助老司机队3:2取胜；下半场球霸祥子发威，教授领空抽射3:2取胜。最后20分钟双方都没有抢到进3球，老司机不败战绩延续👍
苏队踢得相当积极，满场唾沫星子😪 KB今天发挥神勇，抢断好多球，可惜临门一脚欠佳。
本周最佳射手超燃，帽子戏法
本周最佳球员祥子老板，请把右路交给马岩！"
2024-01-05 22:09:32,223,"2024-01-05

今天按照苏队导队分拨 路导球霸缺席 研发林文建威补缺 KB来最晚加入导队 11:10

原本导队压着苏队狂轰乱炸 但是教授老唐防守稳健 没有丢太多球 相反苏队打出犀利反击rocky 祥子有破门得分第一局十分焦灼 直到老段蹭到马赛回旋的淡总 崴了脚后 老段回到苏队 最后3:2胜出
下半场互有攻守 但苏队更胜一筹 把握机会更强3:0 老唐发挥出色 压着打和疯狂逼抢打入最后决胜球 
苏队延续神勇发挥 有近8脚打门 可惜没得分"
2024-01-26 22:46:05,443,"2024-1-26
v记vs非v记 老司机和rocky大哥荣休，永远属于vmware队！
淡总受伤恢复中，打了整场后卫；开场热身赛，由于球霸堡电话粥，v记多打一人，那是一个压着打！ 
上半场v记有绝对优势，老司机花茂盛很早各进一球，进入局点； 老司机没带“手套”法器，数个单刀被顽强封堵，黄队也获得若干机会，也被非v记化解。 祥子表演时刻来临，搬回一个，老段又来一个，均来自老陶助攻，2:2！ 苏队获得角球，老套发前点，祥子狮子甩头拿下第一局！
下半场，苏队还是前锋摆了球霸祥子，很快由kb打入一球，Eric开始了本场最佳盘带进球，在大禁区右侧不断变向过人，球霸，教授，老席，苏队都是背景，尤其是苏队，被来来回回过了三次，以杰拉德是贴地球顽强扳平！ 很快陶总助攻祥子打入第二球，又将比分反超，Eric 接茂盛角球力压kb砸入门内，2:2！ 这时候只剩五分钟了，Eric有一个中场盘带过两人，推远角得分3:2！ 以一人之力搬回第二局，霸气侧漏！
最佳球员：Eric 祥子
助攻大四喜：老陶"
2024-03-01 21:54:53,275,"2024-03-01
v记2:1非v记
v记多打一人，张梁和淡总有伤，不过优势比较明显。球霸祥子领衔非v记打出精彩反击。开场老段戏耍熊熊踩钢丝空翻表演，来点想象。
v记前两节都是3:0，第一局由淡总接eric传中头球后蹭顶入死角；eric 头球砸入球门，茂盛中场远射挂左上角得分！老司机第二局帽子戏法说明退休心情极好午睡很闲适，值得发个红包🧧 席总“熊出没”破解淡总单刀空门进球
第三节 马岩、叫兽、席总三大铁闸，防守严密！林文无解头球破门，球霸祥子发威2:1反超比分
第四节老司机助攻淡总进球 艾总抽射破门 祥子精彩兜射破门 均进入局点可惜没分胜负"
2024-03-08 21:41:34,483," 2024-3-8
欢庆女神节，江涛和光哥复出，国安去年底报名终于走到球场；天气风轻云淡，适合踢球。v记2:1非v记，刚看比分，不看分组，很难想象比赛过程
第一小局v记利用祥子和国安迟到没来的缝隙，由老司机，茂盛和eric连下三城，拿下比赛，其中老司机爬活进球，茂盛一脚似传似射的世界波直挂死角；Eric头球拦截半鱼跃骗过光哥进球.
第二小局一开始泰国队主力祥子国安到场，非v记形成极具压倒性的控球率，席老师传给苏队，分给国安一顿带吸引防守，再给祥子一顿带吸引防守，再给老段，回做马岩，长传球霸，回做江涛，感觉无数个点在接应；v记只能保留eric和骞哥打防守反击，基本出球很艰难。祥子一上场就接老段一个神来漏球，门前一米将球打进，球霸也进一个。v记靠老司机爬活和eric打入扳回颜面的两球；最后是国安一个貌似手球嫌疑的传球给祥子结束第二节。
第三小局，v记更是被动，基本只能靠门将和rocky长传打给eric组织反击，大多数都被席老师和马岩截胡。国安和祥子又早早打入两球；v记靠eric头球和茂盛反抢苏队失误横穿骞哥的进球和非v记打成2:2，最后由黄队补射赢下比赛！"
2024-04-12 21:23:19,214,黄队 vs 淡总 挑人 黄队深得老司机真传 淡总伤愈复出 打了多半场门将 10:10 只踢了一局2:3 两队势均力敌 黄队稍有控球优势 无奈没有得分手  靠艾总接茂盛角球大禁区远射得分 接着茂盛接苏队倒三角打近角破门 早早来到局点。 接下来是eric发挥时刻， 趁着rocky和路导对车的时候，连过数人推射得分，然后又直塞老崔得分，打成2:2； 黄队队员一堆门前机会都没有打进，eric又神勇发挥打入单刀球3:2 淡总队胜[强]
2024-05-05 21:42:36,333,老司机继续约占黄队，总比分2:1. 三个没报名的只有祥子最不靠谱，路导和茂盛被老司机挑走了[偷笑] 场面上基本是老司机队略占优势。陶总一上来就膝盖磕到了老唐，伤退了[捂脸]  黄队今天发挥神勇，先是防守角球做给对手老席，老席顺势一脚得分；黄队第二局似传似射的一个大脚挂左上角破门得分，这球都怪马老板，直接再喊放了放了，结果调了茂盛一球；接着黄队又是右路传中，kb一晃碰到了马老板的小腿乌龙一个； 黄队接着又一个右脚一扣，左脚传中，居然正好被泰国队中场国安头球顶进左上角！ 黄队全场最佳得发个红包庆祝下！ 今天茂盛守门运气太差，还被熊熊一个细腻的乌龙左下角戏弄[捂脸]  老段爬活儿进两，老司机、林文、马老板都有进球… 球霸老司机今天好几个单刀都打飞了，很fw[偷笑]
2024-05-10 22:17:39,394,"2024-5-10
v记非v记 大比分2:1；黄队不在没人敢挑战老司机，有点高处不胜寒的感脚。
热身阶段非v记很快进入状态，v记更喜欢正式算分比赛，第一局由Eric抢断后横切推入右下角，茂盛远射得分，淡总远射直挂左上角，砍瓜切菜般3:0
第二局由骞哥抽射张梁捡漏得一分，然后非v记由苏队路导球霸一系列精妙配合，苏队推出一记反角得分，席老师一记似传非设的吊门，robert没有守住，接着路导当人不让打入终结第二局的精彩进球！3:1
第三局本周末最佳进球来了，江老师小碎步油炸丸子拉球假动作晃过了各个后卫从右边路切底线带球到离门一米抽射进球；马岩打入一粒精彩远射。v记积极拼抢，茂盛偷了老陶一个远射，抓住老崔回传失误打入一球，接着又传中eric结果变成吊门懵了踢球3:2 赢得第三局
苏队今天很兴奋 场地湿滑 非常适合发挥 赛后在出体育场的跑道上被各大球星围绕着 点评自己的失误和进球[偷笑]"
2024-05-17 22:05:19,287,今天老司机挑人0:1惜败黄队，主要原因是淡总苏队早退。老司机队开场由淡总老席江涛牢牢控制中场节奏，祥子抓住一次老司机队的失误妙传茂盛打入第一球；接着江涛又开始自己的表演前场拿球闪转腾挪，横切打远门柱弹入球网；苏队今天发挥神勇，有一个中场练过六人的盘带，犹如齐达内附体，并且在大禁区处半高球凌空抽射得分，本周最佳球员，（可以有红包）小分 2:1，老司机队还在沾沾自喜的时候，茂盛中场开球传给祥子，祥子直塞茂盛，躲过了席老师的防守，单刀推左下角得分2:2，接着祥子发挥神勇一番突破单刀赴会，3:2结束第一局，也是唯一分出胜负的一局！ 第二局祥子老司机各打入一球，小比分1:1. 
2024-05-31 22:17:50,246,今天v记非v记pk，v记4:1大胜！老司机重现爬活绝技 靠着eric淡总祥子的神助攻大四喜值得红包祝贺；eric发挥神勇帽子戏法，尤其是最后5分钟的决胜球远射破门，红包拿来！黄队也发挥神勇，尤其是和茂盛的一个换位跑动，直接单刀头球攻破老席的大门， 罗总偷学老司机爬活技巧，打入两球，对非v记翻盘起来决定性作用，也打破自己的进球荒。 今天v记赢球主要靠淡总连续扑出球吧江涛的必进球，直接摧毁对手射门信心[呲牙] 其他队员陶总，金搏，茂盛，robert，祥子都有进球，天气夏高气爽，可以欢度周末啦
2024-06-21 22:20:16,206,“鸡贼”熊算计老“唐”僧 3:1 完胜，骞哥老司机大四喜延续射手榜首位，江涛bug大四喜加连过数人单刀进门，需要双红包弥补路导受伤的心灵，祥子没有老板羁绊却加持了老板的支持，持续上周最好状态大四喜反超eric总位居第二，eric和茂盛各进一球，今天天气凉爽也是一场酣畅淋漓的比赛，路导最近和“女同学”一起看球有点多，数次跪倒让出球权，今天没发挥出大腿的优势[偷笑] 球霸的迟到总比不来好也给老唐队带来信心[呲牙]
2024-06-28 23:49:25,265,今天老司机左右互搏分人 v记非v记 老司机给v记专门要了马老板盯祥子[呲牙] v记技高一筹大比分3:1拿下比赛  球霸发挥神勇各种神仙球帽子戏法（此处有红包） 祥子延续神勇打入两球，老司机当仁不让也进两球，排行榜首位；尤其有一球，苏队左后卫过茂盛拌蒜，被反抢后传中，老司机不停球，直挂死角！艾总今日最佳，打入两粒精彩入球，并且无私助攻老司机空门得分.（此处有红包） 江涛 陶总连续有进球，张梁一传一射，马老凌空抽射打入精彩进球，茂盛门前捡漏进俩，淡总 eric都有进球。祝崔哥早日康复❤️‍🩹 还是得打带刀后卫，门将太无聊[呲牙]
2024-07-12 21:54:37,241,继承v记足球队传统，风雨无阻，除了祥子艾总放鸽子🐦外，温度适宜，黄队vs老司机2:1赢得胜利 ✌️ 今儿球霸是金子终要闪光发挥神勇获得五连冠，砍瓜切菜加着黄队远射赢下两局，射手榜跻身前三名[强]（此处有红包） 淡总终于伤病恢复，两个头球加骞哥横传助攻完成今年首个帽子戏法，可喜可贺。鲲哥带刀后卫凌空抽射打入可以吹半年的进球；老崔跑动积极几个精彩抢断，并且有一粒和淡总配合的进球；教授失误把球踢给老陶，大脚趾头捅入球门。 今天张梁茂盛黄油手，加起来乌龙帽子戏法，简直不要太湿滑[偷笑]
2024-07-26 21:58:06,247,老司机2:1黄队，泰国按摩队vs伊朗轰炸机队。全靠路导鸽子和国安空降🪂，今天天气持续炎热，需要持续补水💦 黄队状态神勇，以身作则，抽射，头球，背停球完成帽子戏法；国安和淡总短传渗透，相互喂饼助攻好友完成帽子戏法；其实今天踢疯了的是艾总，前场抢断淡总，临空抽射，擦立柱进球，外加后场断球一条龙抽射上角得分，另外一个踢疯了的是老崔，远射门柱，加爆射球霸爽的很！ 老司机球霸茂盛也有顺风进球，张梁顶进一粒漂亮头球。 今天淡总球霸黄油手下蛋被穿裆进球… 巴特斯附体[呲牙] （帽子戏法同学要发红包啊🧧）
